Sprint No.,Story ID,Task ID,Task Description,Task Story Points,Dependencies,Deliverables
2,AQ-301,AQ-301-T1,Validate predecessor parsing and INIT-node handling,3,,Stable predecessor/INIT interpretation rules
2,AQ-301,AQ-301-T2,Verify sequential and parallel lead-time calculations,2,AQ-301-T1,Correct lead-time calculation logic
2,AQ-301,AQ-301-T3,Validate critical-path logic for material-output endpoints,2,AQ-301-T2,Accurate critical-path selection
2,AQ-301,AQ-301-T4,"Handle duplicate, missing, and malformed activity references",2,AQ-301-T1,Robust input-validation behavior
2,AQ-301,AQ-301-T5,Review node and edge labels plus DOT output quality,2,"AQ-301-T2, AQ-301-T3",Cleaner process diagram output
2,AQ-302,AQ-302-T1,Validate role extraction from questionnaire data,2,,Reliable role extraction logic
2,AQ-302,AQ-302-T2,Verify owner-to-owner handoff mapping logic,2,AQ-302-T1,Accurate people handoff mapping
2,AQ-302,AQ-302-T3,Validate automation/manual coloring and labeling rules,2,AQ-302-T2,Correct visual semantics in people diagram
2,AQ-302,AQ-302-T4,"Handle duplicate roles, empty owners, and self-loop cases",2,AQ-302-T1,Hardened people-diagram edge cases
2,AQ-303,AQ-303-T1,Validate automation tool extraction and normalization,2,,Clean tool inventory for diagraming
2,AQ-303,AQ-303-T2,Verify same-tool and cross-tool dependency mapping,2,AQ-303-T1,Accurate technology flow mapping
2,AQ-303,AQ-303-T3,Improve edge deduplication and aggregated edge labeling,2,AQ-303-T2,Reduced duplicate edges in technology diagram
2,AQ-303,AQ-303-T4,"Handle missing tools, aliases, and invalid tool-pair relationships",2,AQ-303-T1,More resilient technology diagram generation
2,AQ-304,AQ-304-T1,"Align DOT, Mermaid, and PlantUML generation behavior",2,"AQ-301, AQ-302, AQ-303",Consistent multi-format diagram outputs
2,AQ-304,AQ-304-T2,Standardize PNG rendering and export output checks,2,AQ-304-T1,Reliable rendered diagram artifacts
2,AQ-304,AQ-304-T3,Validate download naming and artifact directory structure,1,AQ-304-T2,Standardized artifact naming/location
2,AQ-304,AQ-304-T4,Confirm reviewer-friendly consistency across architecture types,1,AQ-304-T1,Consistent user-facing output set
2,AQ-305,AQ-305-T1,"Standardize titles, headers, and metadata in exports",2,AQ-304-T1,Uniform export metadata
2,AQ-305,AQ-305-T2,"Improve formatting for lists, sections, and grouping",1,AQ-305-T1,Better document readability
2,AQ-305,AQ-305-T3,Validate narrative alignment with generated architecture type,1,AQ-305-T1,Correct narrative-to-diagram alignment
2,AQ-305,AQ-305-T4,"Verify file naming, versioning, and MIME/download behavior",1,AQ-305-T1,Download-ready export package
3,AQ-201,AQ-201-T1,Validate required questionnaire columns and sheet assumptions,2,,Ingestion input contract
3,AQ-201,AQ-201-T2,Improve malformed and incomplete Excel failure handling,2,AQ-201-T1,Better ingestion error handling
3,AQ-201,AQ-201-T3,"Strengthen parsing for xlsm, xlsx, docx, pdf, and txt inputs",2,AQ-201-T1,Multi-format ingestion support
3,AQ-201,AQ-201-T4,Normalize extracted text and metadata before chunking,2,AQ-201-T3,Clean normalized ingestion payloads
3,AQ-201,AQ-201-T5,Ensure bad files are skipped without breaking the session,1,"AQ-201-T2, AQ-201-T3",Session-safe ingestion behavior
3,AQ-202,AQ-202-T1,Review chunk size and overlap strategy across sources,2,AQ-201-T4,Improved chunking configuration
3,AQ-202,AQ-202-T2,Reduce redundant and low-value chunks,2,AQ-202-T1,Higher-value retrieval corpus
3,AQ-202,AQ-202-T3,Improve chunk boundary quality for coherent retrieval,1,AQ-202-T1,Better semantic chunk integrity
3,AQ-202,AQ-202-T4,Preserve source attribution and traceability in chunks,1,AQ-202-T2,Source-aware retrieval metadata
3,AQ-203,AQ-203-T1,"Validate node creation for pillars, roles, tools, and activities",2,AQ-201-T4,Complete knowledge graph node model
3,AQ-203,AQ-203-T2,Verify relationship mapping across core graph edges,2,AQ-203-T1,Correct graph relationships
3,AQ-203,AQ-203-T3,Handle partial or missing questionnaire data during graph build,2,AQ-203-T1,Resilient graph build process
3,AQ-203,AQ-203-T4,"Validate graph persistence, reload, and integrity checks",2,AQ-203-T2,Persisted and reloadable graph store
3,AQ-204,AQ-204-T1,Refine intent-based retrieval filtering by discipline,2,"AQ-202, AQ-203",Better query-to-context routing
3,AQ-204,AQ-204-T2,"Improve ranking for People, Process, and Technology queries",2,AQ-204-T1,Better relevance ordering
3,AQ-204,AQ-204-T3,Tune graph and vector retrieval balance to reduce noise,2,"AQ-203-T4, AQ-204-T2",Hybrid retrieval optimization
3,AQ-204,AQ-204-T4,Validate evidence alignment with question and architecture type,1,AQ-204-T3,Grounded response quality checks
3,AQ-205,AQ-205-T1,Define score-threshold rules for answer quality,2,AQ-204-T4,Response quality baseline
